"topScorer","goals"
Léo Briglia (Bahia),8
Bececê (Fortaleza),7
Pelé (Santos),7
Coutinho (Santos),7
Pelé (Santos),8
Pelé (Santos),7
Alcindo (Grêmio),10
Bita (Náutico) Toninho Guerreiro (Santos),10
Ademar Pantera (Flamengo) César Maluco (Palmeiras),15
Chicletes (Treze),9
Toninho Guerreiro (Santos),18
Ferretti (Botafogo),7
Edu (América),14
Tostão (Cruzeiro),12
Dadá Maravilha (Atlético Mineiro),15
Dadá Maravilha (Atlético Mineiro) Pedro Rocha (São Paulo),17
Ramón (Santa Cruz),21
Roberto Dinamite (Vasco da Gama),16
Flávio (Internacional),16
Dario (Internacional),16
Reinaldo (Atlético Mineiro),28
Paulinho (Vasco da Gama),19
César (America),13
Zico (Flamengo),21
Nunes (Flamengo),16
Zico (Flamengo),21
Serginho Chulapa (Santos),22
Roberto Dinamite (Vasco da Gama),16
Edmar (Guarani),20
Careca (São Paulo),25
Müller (São Paulo),10
Nílson (Internacional),15
Túlio (Goiás),11
Charles (Bahia),11
Paulinho McLaren (Santos),15
Bebeto (Vasco da Gama),18
Guga (Santos),15
Amoroso (Guarani) Túlio (Botafogo),19
Túlio (Botafogo),12
Paulo Nunes (Grêmio) Renaldo (Atlético Mineiro),16
Edmundo (Vasco da Gama),29
Viola (Santos),21
Guilherme (Atlético Mineiro),28
Adhemar (São Caetano),22
Romário (Vasco da Gama),21
Luís Fabiano (São Paulo) Rodrigo Fabri (Grêmio),19
Dimba (Goiás),31
Washington (Atlético Paranaense),34
Romário (Vasco da Gama),22
Souza (Goiás),17
Josiel (Paraná),20
Keirrison (Coritiba) Kléber Pereira (Santos) Washington (Fluminense),21
Adriano (Flamengo) Diego Tardelli (Atlético Mineiro),19
Jonas (Grêmio),23
Borges (Santos),23
Fred (Fluminense),20
Éderson (Atlético Paranaense),21
Fred (Fluminense),18
Ricardo Oliveira (Santos),20
William Pottker (Ponte Preta)  Diego Souza (Sport)   Fred (Atlético Mineiro),14
Henrique Dourado (Fluminense)   Jô (Corinthians),18
Gabriel (Santos),18
Gabriel (Flamengo),25
