year,first,second,third,fourth
1959,Bahia,Santos,Grêmio,Vasco da Gama
1960,Palmeiras,Fortaleza,Fluminense,Santa Cruz
1961,Santos,Bahia,America,Náutico
1962,Santos,Botafogo,Internacional,Sport
1963,Santos,Bahia,Grêmio,Botafogo
1964,Santos,Flamengo,Ceará,Palmeiras
1965,Santos,Vasco da Gama,Náutico,Palmeiras
1966,Cruzeiro,Santos,Náutico,Fluminense
1967,Palmeiras,Internacional,Corinthians,Grêmio
1967,Palmeiras,Náutico,Grêmio,Cruzeiro
1968,Santos,Internacional,Vasco da Gama,Palmeiras
1968,Botafogo,Fortaleza,Cruzeiro,Náutico
1969,Palmeiras,Cruzeiro,Corinthians,Botafogo
1970,Fluminense,Palmeiras,Atlético Mineiro,Cruzeiro
1971,Atlético,São Paulo,Botafogo,Corinthians
1972,Palmeiras,Botafogo,Internacional,Corinthians
1973,Palmeiras,São Paulo,Cruzeiro,Internacional
1974,Vasco,Cruzeiro,Santos,Internacional
1975,Internacional,Cruzeiro,Fluminense,Santa Cruz
1976,Internacional,Corinthians,Atlético Mineiro,Fluminense
1977,São,Atlético Mineiro,Operário,Londrina
1978,Guarani,Palmeiras,Internacional,Vasco da Gama
1979,Internacional,Vasco da Gama,Coritiba,Palmeiras
1980,Flamengo,Atlético Mineiro,Internacional,Coritiba
1981,Grêmio,São Paulo,Ponte Preta,Botafogo
1982,Flamengo,Grêmio,Guarani,Corinthians
1983,Flamengo,Santos,Atlético Mineiro,Atlético Paranaense
1984,Fluminense,Vasco da Gama,Grêmio,Corinthians
1985,Coritiba,Bangu,Brasil de Pelotas,Atlético Mineiro
1986,São,Guarani,Atlético Mineiro,America
1987,Sport,Guarani,Flamengo,Internacional
1988,Bahia,Internacional,Fluminense,Grêmio
1989,Vasco,São Paulo,Cruzeiro,Botafogo
1990,Corinthians,São Paulo,Grêmio,Bahia
1991,São,Bragantino,Atlético Mineiro,Fluminense
1992,Flamengo,Botafogo,Vasco da Gama,Bragantino
1993,Palmeiras,Vitória,Corinthians,São Paulo
1994,Palmeiras,Corinthians,Guarani,Atlético Mineiro
1995,Botafogo,Santos,Cruzeiro,Fluminense
1996,Grêmio,Portuguesa,Atlético Mineiro,Goiás
1997,Vasco,Palmeiras,Internacional,Atlético Mineiro
1998,Corinthians,Cruzeiro,Santos,Portuguesa
1999,Corinthians,Atlético Mineiro,Vitória,São Paulo
2000,Vasco,São Caetano,Cruzeiro,Grêmio
2001,Atlético,São Caetano,Fluminense,Atlético Mineiro
2002,Santos,Corinthians,Grêmio,Fluminense
2003,Cruzeiro,Santos,São Paulo,São Caetano
2004,Santos,Atlético Paranaense,São Paulo,Palmeiras
2005,Corinthians,Internacional,Goiás,Palmeiras
2006,São,Internacional,Grêmio,Santos
2007,São,Santos,Flamengo,Fluminense
2008,São,Grêmio,Cruzeiro,Palmeiras
2009,Flamengo,Internacional,São Paulo,Cruzeiro
2010,Fluminense,Cruzeiro,Corinthians,Grêmio
2011,Corinthians,Vasco da Gama,Fluminense,Flamengo
2012,Fluminense,Atlético Mineiro,Grêmio,São Paulo
2013,Cruzeiro,Grêmio,Atlético Paranaense,Botafogo
2014,Cruzeiro,São Paulo,Internacional,Corinthians
2015,Corinthians,Atlético Mineiro,Grêmio,São Paulo
2016,Palmeiras,Santos,Flamengo,Atlético Mineiro
2017,Corinthians,Palmeiras,Santos,Grêmio
2018,Palmeiras,Flamengo,Internacional,Grêmio
2019,Flamengo,Santos,Palmeiras,Grêmio
